name,Số phòng ngủ,Pháp lý,Hướng ban công,Hướng nhà,Address,Nội thất,Mặt tiền,Diện tích,Đường vào,Số toilet,Mức giá,Số tầng
"Chủ bán gấp nhà đẹp MT đường 5m5 Nguyễn Đổng Chi, Hải Châu",,Sổ đỏ/ Sổ hồng,,Đông,"https://www.google.com/maps/embed/v1/place?q=16.0383536,108.2175066&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,80 m²,,,7.5 tỷ,3 tầng
Bán đất có nhà DT 9x26m Hàn Thuyên trung tâm Hải Châu có bán lẻ ngôi nhà. 4.5x26m,4 phòng,Sổ đỏ/ Sổ hồng,,Nam,"https://www.google.com/maps/embed/v1/place?q=16.0393961,108.2168146&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,230 m²,,2 phòng,16 tỷ,2 tầng
"Chính chủ cần bán 2 lô liền kề Minh Mạng, sát biển, có bán lẻ từng lô",,Sổ đỏ/ Sổ hồng,,Bắc,"https://www.google.com/maps/embed/v1/place?q=15.9785431,108.2620534&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,250 m²,,,Thỏa thuận,
Bán đất đường Lâm Hoành - giáp Võ Văn Kiệt 258m2,,,,,"https://www.google.com/maps/embed/v1/place?q=16.0616993,108.2454849&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,258 m²,,,43 tỷ,
"Bán đất đường Đặng Đoàn Bằng, 137.5m2, giá 8,3 tỷ (gặp trực tiếp chủ làm việc). Có lô đôi 275m2",,,,Đông,,,5 m,137.5 m²,7.5 m,,8.3 tỷ,
"Bán nhà 2 tầng 100m2 MT Lý Đạo Thành, giá chỉ 5,3 tỷ",3 phòng,Sổ đỏ/ Sổ hồng,,,"https://www.google.com/maps/embed/v1/place?q=16.0864245,108.238041&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Cơ bản,5 m,100 m²,7.5 m,2 phòng,5.3 tỷ,2 tầng
Bán trường mầm non đạt tiêu chuẩn chất lượng cao Liên Chiểu,,Sổ đỏ/ Sổ hồng,,,"https://www.google.com/maps/embed/v1/place?q= 16.0794193412065520,108.1334965238469600&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,13 m,303 m²,12 m,,41 tỷ,
"Bán đất tặng nhà Trần Hoành, Ngũ Hành Sơn 104m2, giá 3 tỷ",,,,,,,,104 m²,,,3 tỷ,
"Bán lô đất MT An Thượng 21, Ngũ Hành Sơn, 158m2",,,,,"https://www.google.com/maps/embed/v1/place?q=16.0525106,108.2393159&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,9 m,158 m²,,,12.8 tỷ,
"Bán nhà 3 tầng đường Phạm Tứ, giá 5.4 tỷ. LH 0905 259 ***",3 phòng,,,,"https://www.google.com/maps/embed/v1/place?q=15.9991428431472,108.223789126626&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,120.6 m²,,,5.4 tỷ,
Bán đất đô thị có sổ đỏ mặt sông Hàn,,Sổ đỏ/ Sổ hồng.,,,"https://www.google.com/maps/embed/v1/place?q=16.0507935,108.2330105&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,200 m²,,,Thỏa thuận,
"Bán nhà phố đường Phú Lộc 1, Liên Chiểu",3 phòng,Sổ đỏ/ Sổ hồng,,Đông - Bắc,"https://www.google.com/maps/embed/v1/place?q=16.0757378,108.1671486&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Đầy đủ,,76.5 m²,7.5 m,3 phòng,5.6 tỷ,3 tầng
Bán đất mặt tiền đường Chính Hữu sát biển 90m2,,,,,"https://www.google.com/maps/embed/v1/place?q=16.077888488769531,108.24508666992187&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,90 m²,,,11 tỷ,
"Bán đất Nguyễn Công Trứ, Sơn Trà. Đang cho thuê 20tr/ tháng. LH mua đất số 0905 259 ***",,,,,,,,120.6 m²,,,11.5 tỷ,
Bán lô đất trục Bắc Nam gần NKKN,,,,Đông,"https://www.google.com/maps/embed/v1/place?q=15.9769315719604,108.262977600098&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,169 m²,9.5 m,,Thỏa thuận,
"Bán nhà mặt tiền đường 2/9, Hoà Cường Bắc",,,,,"https://www.google.com/maps/embed/v1/place?q=16.0792406,108.2149453&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,7.5 m,300 m²,,,44 tỷ,
Lô góc đối diện trường FPT Uni đẹp nhất cần bán,,,,,"https://www.google.com/maps/embed/v1/place?q=15.97693157196045,108.26297760009766&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,176.2 m²,,,Thỏa thuận,
"Bán nhà MT An Dương Vương 100m2, giá 7.1 tỷ",3 phòng,,,,"https://www.google.com/maps/embed/v1/place?q=16.043511,108.2376104&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,4.5 m,99.5 m²,,3 phòng,7.1 tỷ,
"Bán nhà kiệt ô tô Lý Thái Tổ, P. Thạc Gián, Q. Thanh Khê kiệt nhựa 7m nhà mới",,,,,"https://www.google.com/maps/embed/v1/place?q=16.0662242,108.2084278&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,110.7 m²,7 m,,7.5 tỷ,
"Bán lô 124m2 đường Nguyễn Duy Trinh, Hòa Hải, Ngũ Hành Sơn, Đà Nẵng. Giá 3.2 tỷ",,Sổ đỏ/ Sổ hồng,,Đông - Bắc,"https://www.google.com/maps/embed/v1/place?q=15.990304,108.2671142&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,6.2 m,124 m²,10.5 m,,3.2 tỷ,
Chính chủ cần bán nhanh biệt thự cách biển 50m - giá tốt nhất thị trường,3 phòng,Sổ đỏ/ Sổ hồng,Đông - Nam,Đông - Nam,"https://www.google.com/maps/embed/v1/place?q=16.01702308654785,108.26024627685547&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Đầy đủ,10 m,616 m²,10 m,2 phòng,33 tỷ,2 tầng
"Căn hộ, nhà phố thanh toán, theo tiến độ giá hấp dẫn ngay trung tâm",,,,,"https://www.google.com/maps/embed/v1/place?q=16.05103302001953,108.23609161376953&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,100 m²,,,Thỏa thuận,
"Bán đất biệt thự, tuyến 2 đường Nguyễn Văn Thoại, Ngũ Hành Sơn, Đà Nẵng",,Sổ đỏ/ Sổ hồng,,,"https://www.google.com/maps/embed/v1/place?q=16.05103302001953,108.23609161376953&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,250 m²,,,120 triệu/m²,
Bán lô FPT City Đà Nẵng góc 2 mặt tiền Tây Bắc - 9x17.7m đường 10m5 sát đại học FPT,,Sổ đỏ/ Sổ hồng.,,Tây - Bắc,"https://www.google.com/maps/embed/v1/place?q=15.97693157196045,108.26297760009766&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,9 m,156.2 m²,10.5 m,,5.5 tỷ,
Đất MT đường 5m5 Lê Đại ngay Nguyễn Cư Trinh Hải Châu,,Sổ đỏ/ Sổ hồng,,Tây - Nam,"https://www.google.com/maps/embed/v1/place?q=16.0377327,108.2135562&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,5 m,82.5 m²,5.5 m,,6 tỷ,
Bán nhà 3 tầng mặt tiền Bình An Hải Châu - 60m2 3pn nhà kiên cố sát góc 30/4 Lê Thanh Nghị ở cực to,3 phòng,,,Bắc,"https://www.google.com/maps/embed/v1/place?q=16.0400216,108.2171271&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,4.5 m,60 m²,3.75 m,3 phòng,4.35 tỷ,3 tầng
Chính chủ cần bán lô đất kiệt Nguyễn Công Hoan,,Sổ đỏ/ Sổ hồng,,Đông - Bắc,,,5 m,71 m²,2.5 m,,1.7 tỷ,
"Bán cặp đất gần biển đường Lê Quang Đạo, Ngũ Hành Sơn, Đà Nẵng. Giá: 26 tỷ. 0905 358 ***",,,,Tây,"https://www.google.com/maps/embed/v1/place?q=16.0509709,108.2453006&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,162 m²,7.5 m,,26 tỷ,
Căn hộ nhà phố liền kề đất shophouse vị trí trung tâm kết nối thuận tiện,,,,,"https://www.google.com/maps/embed/v1/place?q=16.05103302001953,108.23609161376953&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,200 m²,,,Thỏa thuận,
"Bán đất số 21 Đỗ Nhuận, khu Trung Nghĩa, phường Hòa Minh",,,,Tây - Nam,"https://www.google.com/maps/embed/v1/place?q=16.0609845,108.1698084&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,259 m²,,,8.7 tỷ,
"Bán gấp nhà phố đường Lê Đại, Hải Châu, giá rẻ",2 phòng,Sổ đỏ/ Sổ hồng,,Tây - Nam,"https://www.google.com/maps/embed/v1/place?q=16.0377327,108.2135562&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Cơ bản,,82.5 m²,5.5 m,1 phòng,5.8 tỷ,1 tầng
Chính chủ cần bán nhanh đất tặng hồ bơi + nhà DT 480m2 cách khu FPT chỉ 1km,,Sổ đỏ/ Sổ hồng.,,Đông - Nam,"https://www.google.com/maps/embed/v1/place?q=15.9882565,108.255535&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,10 m,480 m²,5 m,,7.3 tỷ,
"Chào bán căn thương mại 2 phòng ngủ, mức giá rẻ nhất thị trường chỉ nhỉnh 1.1 tỷ view Hồ Bơi.",2 phòng,,,,"https://www.google.com/maps/embed/v1/place?q=16.0862291,108.1582854&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,62 m²,,2 phòng,1.15 tỷ,
TỔNG HỢP CÁC SẢN PHẨM TỐT NHẤT KHU ĐÔ THỊ FPT THỜI ĐIỂM HIỆN TẠI.GIÁ CẦN BÁN GẤP,,Sổ đỏ/ Sổ hồng,,,"https://www.google.com/maps/embed/v1/place?q=15.9769315719604,108.262977600098&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,100 m²,,,2.4 tỷ,
Chính chủ cần bán gấp lô mặt tiền đường Ngô Quyền Sơn Trà Đà Nẵng - LH ngay giá cực tốt,,Sổ đỏ/ Sổ hồng,,Đông - Bắc,"https://www.google.com/maps/embed/v1/place?q=16.0955088,108.2449502&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,172 m²,48 m,,68 triệu/m²,
Bán lô đất đường 29 Tháng 3. Tuyến đường chính Khu đô thị Hòa Xuân. Block B1.32. Giá tốt đầu tư.,,,,Đông - Nam,"https://www.google.com/maps/embed/v1/place?q=16.0019983,108.2199588&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,45 m,100 m²,,,Thỏa thuận,
Bán nhanh 180m2 FPT City - chỉ 4tỷ2! Thấp nhất thị trường hiện nay,,,,,"https://www.google.com/maps/embed/v1/place?q=15.976932,108.26298&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,7.5 m,180 m²,7.5 m,,4.2 tỷ,
"Tuyệt phẩm nhà 3 tầng mặt tiền Phú Lộc 1 ngay bên vịnh Biển Hòa Minh, Liên Chiểu, Đà Nẵng",3 phòng,Sổ đỏ/ Sổ hồng,,,"https://www.google.com/maps/embed/v1/place?q=16.0757378,108.1671486&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Đầy đủ,,75 m²,,4 phòng,5.59 tỷ,3 tầng
Bán lô đường Lỗ Giáng 24 Hoà Xuân - gần sát Phạm Hùng,,,,Đông,"https://www.google.com/maps/embed/v1/place?q=15.9890439,108.2093499&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,100 m²,5.5 m,,2.65 tỷ,
"Bán nhà mặt tiền 3 tầng đường Lê Nổ, P. Hòa Cường Nam, Q. Hải Châu, TP. Đà Nẵng",3 phòng,,,,"https://www.google.com/maps/embed/v1/place?q=16.0302097,108.220785&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,101.5 m²,7.5 m,4 phòng,8.8 tỷ,3 tầng
"Bán nhà 4 tầng mặt tiền sau lưng trục Hoàng Sa, Thọ Quang, Sơn Trà",4 phòng,Sổ đỏ/ Sổ hồng,,Đông - Nam,"https://www.google.com/maps/embed/v1/place?q=16.1033569,108.2820373&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,55 m²,5 m,4 phòng,5.5 tỷ,4 tầng
"Đất nền biệt thự Đà Nẵng ngang 38m, cách biển & hệ thống resort biển 2km, giá 32 triệu/m2",,,,Bắc,"https://www.google.com/maps/embed/v1/place?q=15.9769315719604,108.262977600098&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,38 m,1145 m²,,,32 triệu/m²,
"Bán nhà 4 tầng đường Lê Quang Đạo, Mỹ An, Ngũ Hành Sơn, Đà Nẵng. Giá: 13,5 tỷ. 0905 358 ***",5 phòng,,,Tây,"https://www.google.com/maps/embed/v1/place?q=16.0509709,108.2453006&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Đầy đủ,4.5 m,82 m²,7.5 m,,13.5 tỷ,4 tầng
Bán biệt thự mặt sông Hàn thuộc khu Euro Village 1 Đà Nẵng,,,,,"https://www.google.com/maps/embed/v1/place?q=16.055875778198242,108.23052215576172&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,300 m²,,,300 triệu/m²,
"Bán nhà 2 tầng mặt tiền đường An Dương Vương, Phường Mỹ An, Quận Ngũ Hành Sơn",,,,,"https://www.google.com/maps/embed/v1/place?q=16.043511,108.2376104&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,99.45 m²,28 m,,5.9 tỷ,2 tầng
"Bán nhà mặt tiền 2 tầng đường Ông Ích Khiêm, P. Hải Châu II, Q. Hải Châu, Tp. Đà Nẵng",3 phòng,,,,"https://www.google.com/maps/embed/v1/place?q=16.0664599,108.2142707&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,143 m²,10.5 m,3 phòng,22 tỷ,2 tầng
"Chính chủ bán lô đất 3 mặt tiền Ỷ Lan Nguyên Phi, liên hệ 0326 975 ***",,,,,"https://www.google.com/maps/embed/v1/place?q=16.0408909,108.2162361&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,14 m,250.4 m²,,,22 tỷ,
Nhà Bùi Dương Lịch 3 tầng 5PN Đông Nam gần chợ Sơn Trà đẹp rẻ,5 phòng,Sổ đỏ.,Đông - Nam,Đông - Nam,"https://www.google.com/maps/embed/v1/place?q=16.0894622,108.2331019&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Cơ bản.,4 m,72 m²,7.5 m,3 phòng,4.4 tỷ,3 tầng
Đất Phước Trường 79m2 biển Võ Nguyên Giáp Sơn Trà đẹp rẻ,,Sổ đỏ,,Bắc,,,5 m,78.5 m²,5.5 m,,5.2 tỷ,
Bán lô đất Phan Bá Vành khu Mega Sơn Trà rẻ nhất,,,,Đông,,,10 m,150 m²,10.5 m,,6.3 tỷ,
"Cần bán 203m2 đường 4m ô tô tận lô tại Hoà Phong, Đà Nẵng sát Vành Đai Ql 14G, 930 triệu",,,,,"https://www.google.com/maps/embed/v1/place?q=15.9862526340057,108.126501186262&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,5.5 m,203 m²,4 m,,930 triệu,
"CỰC PHẨM. Giá SIÊU ĐẦU TƯ cho lô đất đường 10m5 trung tâm khu AN THƯỢNG, Mỹ An, NHS",,Sổ đỏ/ Sổ hồng,,,"https://www.google.com/maps/embed/v1/place?q=16.0476897,108.2466488&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,5 m,90 m²,10.5 m,,11.5 tỷ,
Bán căn hộ 1PN view cầu Rồng - Sông Hàn - Biển Mỹ Khê,1 phòng,Sổ đỏ/ Sổ hồng,Đông - Bắc,Đông - Nam,"https://www.google.com/maps/embed/v1/place?q=16.05558967590332,108.22355651855469&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Cơ bản,,48.1 m²,,1 phòng,Thỏa thuận,
"Cần bán nhanh căn hộ FPT Đà Nẵng, 1 căn duy nhất hướng Biển, giá chỉ 1,5 tỷ - hỗ trợ vay ngân hàng",2 phòng,,,,"https://www.google.com/maps/embed/v1/place?q=15.97693157196045,108.26297760009766&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40","Nội thất cơ bản, vào ở được ngay!",,70 m²,,2 phòng,1.5 tỷ,
"Cần bán 1.905m2 đất vàng ven biển, 3MT đường Phạm Văn Đồng, Sơn Trà, Đà Nẵng",,Sổ đỏ/ Sổ hồng,,,,,,1905 m²,,,Thỏa thuận,
Chính chủ gửi bán lô đất lớn 688m2 mặt tiền đường Ngô Quyền TP Đà Nẵng,,Sổ đỏ/ Sổ hồng,,Tây - Bắc,"https://www.google.com/maps/embed/v1/place?q=16.0793647,108.2336744&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,21 m,688 m²,48 m,,68 triệu/m²,
"Chính chủ bán nhanh nhà kiệt Nguyễn Nhàn, hướng Đông Nam, nở hậu, giá đầu tư, ở hoặc cho thuê tốt",1 phòng,Sổ đỏ/ Sổ hồng.,,Đông - Nam,"https://www.google.com/maps/embed/v1/place?q=16.0110171,108.1960655&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Cơ bản.,5 m,94.4 m²,9 m,1 phòng,2.15 tỷ,1 tầng
"Chính chủ bán đất đường Nguyễn Hữu An, Sơn Trà, Đà Nẵng, gần khách sạn 5* Hòa Bình Green",,,,Tây - Bắc,,,,180 m²,,,Thỏa thuận,
"Chính chủ cần bán 240m2 đất biển đối lưng Võ Nguyên Giáp, đường Phước Trường 1, Sơn Trà, Đà Nẵng",,Đã có sổ hồng.,,Tây,"https://www.google.com/maps/embed/v1/place?q=16.0791214716683,108.2458187&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,12 m,240 m²,7.5 m,,Thỏa thuận,
"Cần bán nhanh 300m2 đất biệt thự view sông Hàn đường Chương Dương, Ngũ Hành Sơn, Đà Nẵng",,Sổ đỏ/ Sổ hồng.,,Tây,"https://www.google.com/maps/embed/v1/place?q=16.0387737,108.2372265&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,15 m,300 m²,15 m,,Thỏa thuận,
"Nhà 2 MT đường 15m Đống Đa, Hải Châu nở hậu đẹp",,Sổ đỏ/ Sổ hồng,,Đông - Nam,"https://www.google.com/maps/embed/v1/place?q=16.0798616,108.218156&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,52 m²,15 m,,8.2 tỷ,
"bán căn đường 5.5m Hoà Liên 3, nhà siêu tốt cho quý anh chị định cư. giá chỉ: 1.77 tỷ",2 phòng,Sổ đỏ/ Sổ hồng,,,"https://www.google.com/maps/embed/v1/place?q=16.0940981,108.0997439&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,115 m²,,1 phòng,1.77 tỷ,1 tầng
"Bán đất khu Nam Hoà Xuân gần cầu Minh Mạng, giá tốt chỉ 2,6 tỷ",,Sổ đỏ/ Sổ hồng.,,Đông - Nam,"https://www.google.com/maps/embed/v1/place?q=15.9829578399658,108.233421325684&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,110 m²,,,2.6 tỷ,
"Bán nhà phố đường Phan Triêm, Cẩm Lệ sát Võ Chí Công giá chỉ 3.6 tỷ",2 phòng,Sổ đỏ/ Sổ hồng,,Đông - Bắc,"https://www.google.com/maps/embed/v1/place?q=16.0033257,108.2241964&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Cơ bản,,96.3 m²,7.5 m,2 phòng,3.6 tỷ,2 tầng
"Giảm chào 200 bán toàn khách sạn gần bệnh viện quận Cẩm Lệ, gần quốc lộ",10 phòng,Sổ đỏ/ Sổ hồng,,,"https://www.google.com/maps/embed/v1/place?q=16.0110171,108.1960655&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Đầy đủ,5 m,108 m²,75 m,,5.899 tỷ,3 tầng
Chào bán 100 hecta đất trồng cây lâu năm và 1 hec ta đất thổ cư,,Sổ đỏ/ Sổ hồng.,,Đông - Nam,"https://www.google.com/maps/embed/v1/place?q=16.0039967,108.1473931&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,"15,000 m",800000 m²,20 m,,130 tỷ,
Vị trí vàng Hải Châu lô góc sát đường Thăng Long giá sập hầm,13 phòng,Sổ đỏ/ Sổ hồng.,,,"https://www.google.com/maps/embed/v1/place?q=16.0305282,108.227732&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,15 m,126.5 m²,7.5 m,,12.4 tỷ,3 tầng
Sơn Trà - Đà Nẵng - nhà 2 tầng giá sập hầm,3 phòng,Sổ đỏ/ Sổ hồng,Tây - Nam,Tây - Nam,"https://www.google.com/maps/embed/v1/place?q=16.0870302,108.2454432&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Cơ bản.,5 m,66 m²,7.5 m,2 phòng,4.6 tỷ,2 tầng
Nhà mặt tiền song song Lê Đại Hành,4 phòng,Sổ đỏ/ Sổ hồng,Bắc,Bắc,"https://www.google.com/maps/embed/v1/place?q=16.0216884,108.1966663&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Cơ bản,,110 m²,7 m,5 phòng,4.444 tỷ,3 tầng
"Bán nhà 3 tầng mặt tiền đường Núi Thành, Hải Châu, Đà Nẵng giá đầu tư",3 phòng,,Đông,Đông,"https://www.google.com/maps/embed/v1/place?q=16.0430209,108.2215375&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,6.2 m,106 m²,10.5 m,4 phòng,14.5 tỷ,3 tầng
Chính chủ chào bán căn biệt thự sân vườn 600m2,4 phòng,Sổ đỏ/ Sổ hồng,Đông - Nam,Đông - Nam,"https://www.google.com/maps/embed/v1/place?q=16.0483097,108.1813566&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Đầy đủ,18 m,600 m²,8 m,5 phòng,Thỏa thuận,3 tầng
"Bán nhà mặt tiền 1,5 tầng đường An Thượng, P. Mỹ An, Q. Ngũ Hành Sơn, Tp. Đà Nẵng",2 phòng,,,,"https://www.google.com/maps/embed/v1/place?q=16.049333,108.2483028&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,4.1 m,61.5 m²,,1 phòng,4.8 tỷ,1 tầng
VC tôi chuyển công tác cần bán nhà 4 tầng đường Hà Mục chính chủ,4 phòng,Sổ đỏ/ Sổ hồng,Tây - Nam,Tây - Nam,"https://www.google.com/maps/embed/v1/place?q=16.0432852,108.2101037&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Đầy đủ,5 m,100 m²,7.5 m,4 phòng,5.45 tỷ,4 tầng
Bán nhà 3 tầng 3 mê mặt tiền đường Đinh Công Tráng,4 phòng,Hợp đồng mua bán,,Nam,"https://www.google.com/maps/embed/v1/place?q=16.0878764,108.2190496&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Đầy đủ,,60 m²,,4 phòng,6.55 tỷ,3 tầng
"Chỉ còn 20 căn cuối cùng của FPT Plaza 2 trước ngày đóng bảng hàng CĐT, hỗ trợ vay 70%",2 phòng,Sổ đỏ/ Sổ hồng,,,"https://www.google.com/maps/embed/v1/place?q=15.97693157196045,108.26297760009766&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Đầy đủ,,70 m²,,2 phòng,1.7 tỷ,
"Bán nhà 3 tầng đường Mai Am, phường Thuận Phước, quận Hải Châu",,,,,"https://www.google.com/maps/embed/v1/place?q=16.0846018,108.2154756&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,105 m²,7.5 m,,7.9 tỷ,3 tầng
Bán nhà Thanh Khê song song Kinh Dương Vương,3 phòng,Sổ đỏ/ Sổ hồng,Đông - Bắc,Đông - Bắc,"https://www.google.com/maps/embed/v1/place?q=16.076202,108.176804&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,80 m²,5.5 m,3 phòng,4.95 tỷ,3 tầng
Nhà mặt tiền đường 10m5 Hoàng Hoa Thám kẹp kiệt 3m,2 phòng,Sổ đỏ/ Sổ hồng,,Tây - Nam,"https://www.google.com/maps/embed/v1/place?q=16.0689328,108.2098238&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,4.75 m,120 m²,10.5 m,2 phòng,20 tỷ,2 tầng
"Bán tòa căn hộ xây thô kiệt Nguyễn Văn Thoại, Sơn Trà, Đà Nẵng",16 phòng,Sổ đỏ/ Sổ hồng,Đông,Đông,"https://www.google.com/maps/embed/v1/place?q=16.0558376,108.2449005&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Đầy đủ,9.8 m,176 m²,5 m,17 phòng,15 tỷ,5 tầng
"Bán nhà phố 2 tầng đường Phan Khôi, Cẩm Lệ giá chỉ 3.350 tỷ.",3 phòng,Sổ đỏ/ Sổ hồng,,Đông,"https://www.google.com/maps/embed/v1/place?q=15.9846859,108.2144932&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Đầy đủ,,100 m²,7.5 m,2 phòng,3.35 tỷ,2 tầng
"Bán nhà 2 MT đường Lý Tự Trọng, quận Hải Châu, Đà Nẵng. 3 tầng 100m2 giá 14 tỷ có TL",4 phòng,,,Đông,"https://www.google.com/maps/embed/v1/place?q=16.0770881,108.2185361&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,100 m²,,4 phòng,14 tỷ,3 tầng
"Bán nhà có gác lửng Trần Văn Giáp, Hải Châu",2 phòng,Sổ đỏ/ Sổ hồng,,Đông,"https://www.google.com/maps/embed/v1/place?q=16.0379637,108.2153832&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Không nội thất,,82.5 m²,,1 phòng,5.4 tỷ,1 tầng
"Bán gấp nhà kiệt 3m Lê Duẩn, Thanh Khê, Đà Nẵng, full nội thất DT: 52m2, giá cực kì rẻ 2tỷ7 có TL",3 phòng,,,,"https://www.google.com/maps/embed/v1/place?q=16.0695983,108.2105887&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,52 m²,3 m,,2.7 tỷ,
"Bán nhà đường Nguyễn Văn Linh, trung tâm thành phố, nhà 4 tầng đầy đủ công năng!",6 phòng,Sổ đỏ/ Sổ hồng,,Nam,"https://www.google.com/maps/embed/v1/place?q=16.0607819,108.2168365&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Đầy đủ,,107 m²,33 m,5 phòng,Thỏa thuận,4 tầng
